Brute force:
No solution

Backtracking:
T, 2, G, 2, T, 2, T, 2, G, 2, T
2, T, 3, T, 3, G, 3, T, 3, T, 2
G, 3, T, 3, T, 3, T, 3, T, 3, G
2, T, 3, G, 3, T, 3, G, 3, T, 2
T, 3, T, 3, T, 3, T, 3, T, 3, T
2, G, 3, T, 3, G, 3, T, 3, G, 2
T, 3, T, 3, T, 3, T, 3, T, 3, T
2, T, 3, G, 3, T, 3, G, 3, T, 2
G, 3, T, 3, T, 3, T, 3, T, 3, G
2, T, 3, T, 3, G, 3, T, 3, T, 2
T, 2, G, 2, T, 2, T, 2, G, 2, T

Pysat:
G, 2, T, 2, G, 2, T, 2, G, 2, T
2, T, 3, T, 3, T, 3, T, 3, T, 2
T, 3, G, 3, T, 3, G, 3, T, 3, G
2, T, 3, T, 3, T, 3, T, 3, T, 2
G, 3, T, 3, G, 3, T, 3, G, 3, T
2, T, 3, T, 3, T, 3, T, 3, T, 2
T, 3, G, 3, T, 3, G, 3, T, 3, G
2, T, 3, T, 3, T, 3, T, 3, T, 2
G, 3, T, 3, G, 3, T, 3, G, 3, T
2, T, 3, T, 3, T, 3, T, 3, T, 2
T, 2, G, 2, T, 2, G, 2, T, 2, G

