Brute force:
No solution

Backtracking:
G, 2, T, 3, T, 2, 2, T, 2, T, T, T, T, T, 3, 1, G, 1, T, 2
G, 2, T, 4, 2, 4, T, 4, 3, 3, 4, 5, 5, T, T, 2, 2, 4, 4, T
G, 1, G, 2, T, 5, T, T, 1, 2, T, 4, T, 3, 2, 2, T, T, T, 3
G, 2, 1, 1, 3, T, T, 4, 2, G, T, T, 4, 2, 1, 1, 3, G, G, T
T, T, 2, G, 4, T, 5, 3, T, 2, G, T, G, T, 2, 1, 2, T, T, G
T, T, G, 3, T, T, T, G, 1, 2, 2, 4, T, 5, G, T, 3, 3, T, 2
5, T, 5, T, T, 5, 2, 1, G, 2, T, 4, T, T, T, T, 3, G, G, 2
T, T, 6, T, T, G, G, G, G, 3, T, 5, 5, T, 6, 4, T, 1, 1, T
3, T, T, 5, 4, 2, 1, G, 1, 4, T, 5, T, T, 4, T, 3, 1, 2, G
3, 5, T, T, 3, T, 2, G, 2, T, T, T, 5, 3, 4, T, 3, G, 2, T
T, T, 5, 5, T, 4, T, 3, 5, T, T, T, 3, T, 4, 3, 3, T, 2, 1
3, 5, T, T, 4, T, G, T, T, T, 5, G, G, G, T, T, 3, G, 2, G
2, T, T, G, 3, T, 3, 2, 4, T, 2, G, G, 2, T, 3, 2, T, 1, G
3, T, 4, 3, 3, G, G, 1, G, 2, 1, G, 2, 4, 3, 2, 2, G, 2, G
T, 4, 3, T, T, 3, 3, G, T, 3, 1, 2, T, T, T, 1, 1, T, 2, 1
T, 5, T, 6, 6, T, T, T, T, G, T, 2, 3, 4, 3, 2, 3, 5, T, G
T, G, T, T, T, T, 4, 3, 3, 3, 2, 1, 1, T, 2, 2, T, T, T, T
2, 3, 5, T, G, 4, 4, 3, 4, T, 3, G, 3, 3, T, 3, 4, 4, 6, T
2, T, 4, T, 4, T, T, T, T, T, 3, T, 3, T, 3, T, G, T, 5, T
T, 2, G, T, 3, 2, G, G, 3, G, 2, G, T, 2, 2, 1, G, T, T, 2

Pysat:
G, 2, T, 3, T, 2, 2, T, 2, T, T, T, T, T, 3, 1, G, 1, T, 2
G, 2, T, 4, 2, 4, T, 4, 3, 3, 4, 5, 5, T, T, 2, 2, 4, 4, T
G, 1, G, 2, T, 5, T, T, 1, 2, T, 4, T, 3, 2, 2, T, T, T, 3
G, 2, 1, 1, 3, T, T, 4, 2, G, T, T, 4, 2, 1, 1, 3, G, T, G
T, T, 2, G, 4, T, 5, 3, T, 2, G, T, G, T, 2, 1, 2, T, T, G
T, T, G, 3, T, T, T, G, 1, 2, 2, 4, T, 5, G, T, 3, 3, T, 2
5, T, 5, T, T, 5, 2, 1, G, 2, T, 4, T, T, T, T, 3, G, G, 2
T, T, 6, T, T, G, G, G, G, 3, T, 5, 5, T, 6, 4, T, 1, 1, T
3, T, T, 5, 4, 2, 1, G, 1, 4, T, 5, T, T, 4, T, 3, 1, 2, G
3, 5, T, T, 3, T, 2, G, 2, T, T, T, 5, 3, 4, T, 3, G, 2, T
T, T, 5, 5, T, 4, T, 3, 5, T, T, T, 3, T, 4, 3, 3, T, 2, 1
3, 5, T, T, 4, T, G, T, T, T, 5, G, G, G, T, T, 3, G, 2, G
2, T, T, G, 3, T, 3, 2, 4, T, 2, G, G, 2, T, 3, 2, T, 1, G
3, T, 4, 3, 3, G, G, 1, G, 2, 1, G, 2, 4, 3, 2, 2, G, 2, G
T, 4, 3, T, T, 3, 3, G, T, 3, 1, 2, T, T, T, 1, 1, T, 2, 1
T, 5, T, 6, 6, T, T, T, T, G, T, 2, 3, 4, 3, 2, 3, 5, T, G
T, G, T, T, T, T, 4, 3, 3, 3, 2, 1, 1, T, 2, 2, T, T, T, T
2, 3, 5, T, G, 4, 4, 3, 4, T, 3, G, 3, 3, T, 3, 4, 4, 6, T
2, T, 4, T, 4, T, T, T, T, T, 3, T, 3, T, 3, T, G, T, 5, T
T, 2, G, T, 3, 2, G, G, 3, G, 2, G, T, 2, 2, 1, G, T, T, 2

